bioguideID,startingNW,currentNW,DisclosureChange,DisclosurePctChange,DailyChange,DailyPctChange,imageURL,directOrderName,state,party,activeSenate,activeHouse,birthYear,uploaded
H001075,4547500,5500390.83008405,952890.830084049,20.9541688858505,5090.72472551931,0.0926,https://www.congress.gov/img/member/h001075_200.jpg,Kamala D. Harris,California,Democratic,0,0,1964,
W000799,596000,596000,0,0,0,0,https://www.congress.gov/img/member/w000799_200.jpg,Timothy J. Walz,Minnesota,Democratic,0,0,1964,
T000478,1340000,1343380.18843612,3380.18843612378,0.252252868367446,-70.0440162962768,-0.0052,https://www.congress.gov/img/member/t000478_200.jpg,Claudia Tenney,New York,Republican,0,1,1961,2025-09-18 15:05:36.289083
T000480,21345500,21345500,0,0,0,0,https://www.congress.gov/img/member/t000480_200.jpg,William R. Timmons IV,South Carolina,Republican,0,1,1984,2025-09-18 15:05:36.289083
T000481,490500,490500,0,0,0,0,https://www.congress.gov/img/member/t000481_200.jpg,Rashida Tlaib,Michigan,Democratic,0,1,1976,2025-09-18 15:05:36.289083
T000482,33810000,34121653.8329101,311653.832910135,0.921780044099779,2680.90481903404,0.0079,https://www.congress.gov/img/member/t000482_200.jpg,Lori Trahan,Massachusetts,Democratic,0,1,1973,2025-09-18 15:05:36.289083
T000483,76448500,78603626.5165023,2155126.51650228,2.81905664140209,-499.083410918713,-0.0006,https://www.congress.gov/img/member/t000483_200.jpg,David J. Trone,Maryland,Democratic,0,0,1955,2025-09-18 15:05:36.289083
T000486,651500,655594.222540545,4094.22254054528,0.628430167389912,3.2736073093256,0.0005,https://www.congress.gov/img/member/t000486_200.jpg,Ritchie Torres,New York,Democratic,0,1,1988,2025-09-18 15:05:36.289083
T000487,803500,808140.187952571,4640.18795257108,0.577496944937285,216.444302521064,0.0268,https://www.congress.gov/img/member/t000487_200.jpg,Jill N. Tokuda,Hawaii,Democratic,0,1,1976,2025-09-18 15:05:36.289083
T000488,40197002,41173552.9475362,976550.947536163,2.42941239134243,40727.0435376614,0.099,https://www.congress.gov/img/member/t000488_200.jpg,Shri Thanedar,Michigan,Democratic,0,1,1955,2025-09-18 15:05:36.289083
T000490,16608800,16677704.8171736,68904.817173576,0.414869329352969,467.368131676689,0.0028,https://www.congress.gov/img/member/677460190b34857ecc9091a3_200.jpg,David Taylor,Ohio,Republican,0,1,1969,2025-09-18 15:05:36.289083
T000491,4596000,4607389.01749142,11389.017491417,0.247802817480788,65.5184846073389,0.0014,https://www.congress.gov/img/member/6774606d0b34857ecc9091a9_200.jpg,Derek Tran,California,Democratic,0,1,1982,2025-09-18 15:05:36.289083
U000040,89500,89500,0,0,0,0,https://www.congress.gov/img/member/u000040_200.jpg,Lauren Underwood,Illinois,Democratic,0,1,1986,2025-09-18 15:05:36.289083
V000081,750000,750000,0,0,0,0,https://www.congress.gov/img/member/v000081_200.jpg,Nydia M. Velázquez,New York,Democratic,0,1,1953,2025-09-18 15:05:36.289083
V000130,9665500,9665500,0,0,0,0,https://www.congress.gov/img/member/v000130_200.jpg,Juan Vargas,California,Democratic,0,1,1961,2025-09-18 15:05:36.289083
V000131,163000,163178.103412183,178.10341218338,0.109265897045018,-7.78731421360862,-0.0048,https://www.congress.gov/img/member/v000131_200.jpg,Marc A. Veasey,Texas,Democratic,0,1,1971,2025-09-18 15:05:36.289083
